,0
0,00081TAD0
1,001055AC6
2,001055AE2
3,001055AF9
4,001055AH5
5,001055AL6
6,001055AM4
7,001055AN2
8,001055AY8
9,00105DAB1
10,001084AG7
11,00108WAJ9
12,0010EPAB4
13,00115AAH2
14,00130HBC8
15,00130HBH7
16,00130HBL8
17,00130HBN4
18,00130HBQ7
19,00130HBS3
20,00130HBT1
21,00130HBU8
22,00130HBW4
23,00130HBX2
24,00130HBY0
25,00130HBZ7
26,00130HCA1
27,001546AT7
28,001546AU4
29,00165AAF5
30,00165AAH1
31,00165CAB0
32,00165CAD6
33,00184AAA3
34,00184AAB1
35,00184AAC9
36,00184AAD7
37,00184AAE5
38,00184AAG0
39,00185AAF1
40,00185AAG9
41,00185AAH7
42,00185AAK0
43,001957AJ8
44,001957AL3
45,001957AR0
46,001957AU3
47,001957AV1
48,001957BC2
49,001957BD0
50,00206HH72
51,00206RAD4
52,00206RAF9
53,00206RAG7
54,00206RAM4
55,00206RAP7
56,00206RAQ5
57,00206RAR3
58,00206RAS1
59,00206RAV4
60,00206RAW2
61,00206RAX0
62,00206RBB7
63,00206RBC5
64,00206RBD3
65,00206RBF8
66,00206RBH4
67,00206RBK7
68,00206RBL5
69,00206RBM3
70,00206RBN1
71,00206RBR2
72,00206RCC4
73,00206RCE0
74,00206RCG5
75,00206RCL4
76,00206RCM2
77,00206RCN0
78,00206RCP5
79,00206RCQ3
80,00206RCR1
81,00206RCS9
82,00206RCT7
83,00206RCU4
84,00206RCW0
85,00206RCX8
86,00206RCY6
87,00206RCZ3
88,00206RDA7
89,00206RDB5
90,00206RDC3
91,00206RDD1
92,00206RDE9
93,00206RDF6
94,00206RDG4
95,00206RDH2
96,00206RDJ8
97,00206RDK5
98,00206RDN9
99,00206RDP4
100,00206RDQ2
101,00206RDR0
102,00206RDS8
103,00206RDT6
104,00206RFS6
105,00206RFU1
106,00206RFW7
107,00206RGL0
108,00206RGQ9
109,00206RHA3
110,00206RHJ4
111,00206RHK1
112,00206RHM7
113,00206RHP0
114,00206RHR6
115,00206RHS4
116,00206RHT2
117,00206RHV7
118,00206RHW5
119,00206RJG8
120,00206RJH6
121,00206RJL7
122,00209TAA3
123,00209TAB1
124,002819AA8
125,002819AB6
126,002824AM2
127,002824AN0
128,002824AP5
129,002824AQ3
130,002824AR1
131,002824AS9
132,002824AT7
133,002824AU4
134,002824AW0
135,002824AX8
136,002824AY6
137,002824AZ3
138,002824BA7
139,002824BB5
140,002824BC3
141,002824BD1
142,002824BE9
143,002824BF6
144,002824BG4
145,002824BH2
146,002824BK5
147,002824BL3
148,002824BM1
149,00287YAL3
150,00287YAM1
151,00287YAP4
152,00287YAQ2
153,00287YAR0
154,00287YAS8
155,00287YAT6
156,00287YAU3
157,00287YAV1
158,00287YAW9
159,00287YAX7
160,00287YAY5
161,003669AB4
162,003669AC2
163,003669AJ7
164,003910AF3
165,003924AA5
166,003924AC1
167,003924AD9
168,003924AF4
169,003924AH0
170,00404AAM1
171,00434NAA3
172,00434NAB1
173,004408AB6
174,00440EAB3
175,00440EAG2
176,00440EAL1
177,00440EAN7
178,00440EAQ0
179,00440EAR8
180,00507VAH2
181,00507VAK5
182,00507VAL3
183,00507VAN9
184,00724FAA9
185,00724FAB7
186,00724FAC5
187,00751YAC0
188,007643AB5
189,00766TAB6
190,00766TAD2
191,00772BAB7
192,00772BAD3
193,00772BAF8
194,00772BAM3
195,00772BAN1
196,00772BAP6
197,00772BAR2
198,00774CAB3
199,00774MAA3
200,00774MAB1
201,00774MAC9
202,00774MAD7
203,00774MAE5
204,00774MAF2
205,00774MAG0
206,00774MAH8
207,00774MAK1
208,00774MAL9
209,007903AR8
210,007903BC0
211,007924AF0
212,00817YAD0
213,00817YAE8
214,00817YAH1
215,00817YAL2
216,00817YAS7
217,00817YAZ1
218,008190AG5
219,00846UAE1
220,00846UAF8
221,00912XAF1
222,00912XAL8
223,00912XAM6
224,00912XAN4
225,00912XAP9
226,00912XAQ7
227,00912XAR5
228,00912XAS3
229,00912XAT1
230,00912XAU8
231,00912XAV6
232,00912XAW4
233,00912XAX2
234,00912XAY0
235,00912XAZ7
236,00912XBC7
237,00912XBE3
238,00912XBF0
239,00914AAA0
240,009158AQ9
241,00928QAB7
242,00928QAF8
243,00928QAG6
244,00928QAK7
245,00928QAL5
246,00928QAM3
247,00928QAN1
248,00928QAP6
249,00928QAQ4
250,00928QAR2
251,009363AH5
252,009363AN2
253,010392EH7
254,010392EN4
255,010392FH6
256,010392FM5
257,010392FQ6
258,010392FR4
259,010392FS2
260,012725AC1
261,012725AD9
262,013104AE4
263,013104AG9
264,013104AJ3
265,013716AR6
266,013716AS4
267,013716AT2
268,013817AA9
269,013817AC5
270,013817AD3
271,013817AF8
272,013817AG6
273,013817AH4
274,013817AJ0
275,013817AK7
276,013817AL5
277,013817AP6
278,013817AQ4
279,013817AR2
280,013817AS0
281,013817AU5
282,013817AV3
283,01449JAB1
284,01449JAE5
285,01449JAH8
286,01748NAD6
287,018490AM4
288,018490AN2
289,018804AF1
290,018804AL8
291,018804AP9
292,01958XAL1
293,01958XAQ0
294,01958XAS6
295,01958XAV9
296,01958XAX5
