,cusip,date,bond_ret_truncated,bond_ret_ice,bond_ret_trace,true_bond_ret
0,087509AJ4,2002-07-31,1.0,,1.1445048502632111,1.1445048502632111
1,967446AA3,2002-07-31,1.0,,1.196437728866325,1.196437728866325
2,969455AA2,2002-07-31,1.0,,1.5587142489521761,1.5587142489521761
3,156503AF1,2002-08-31,1.0,,1.0767388675577783,1.0767388675577783
4,156503AH7,2002-08-31,1.0,,1.2384976216280217,1.2384976216280217
5,171794AF7,2002-08-31,1.0,0.04211,1.2848688933395687,0.04211
6,313549AM9,2002-08-31,1.0,,1.8457694484265337,1.8457694484265337
7,482584AM1,2002-08-31,1.0,,1.5832432217611865,1.5832432217611865
8,482584AP4,2002-08-31,1.0,,1.0004379706113835,1.0004379706113835
9,501813AA7,2002-08-31,1.0,0.87899,1.7370189132421627,0.87899
10,629377AG7,2002-08-31,1.0,0.17463,6.551832068900871,0.17463
11,501813AA7,2002-09-30,1.0,0.22328,1.9874013838920477,0.22328
12,66649PAC6,2002-09-30,1.0,-0.07607,4.935149742963582,-0.07607
13,695629CG8,2002-09-30,1.0,0.03396,1.1182554729762668,0.03396
14,858903AB3,2002-09-30,1.0,,3.8422852348013756,3.8422852348013756
15,629377AL6,2002-10-31,1.0,-0.27208,1.035303355856041,-0.27208
16,293561BX3,2002-11-30,1.0,,1.767038645417272,1.767038645417272
17,458801AR8,2002-11-30,1.0,,1.36464266036073,1.36464266036073
18,605288AA7,2002-11-30,1.0,,1.1176114657785123,1.1176114657785123
19,00130HAK1,2002-12-31,1.0,0.71274,1.151046018013669,0.71274
20,269514AB1,2002-12-31,1.0,,1.2650727155428225,1.2650727155428225
21,293561AY2,2002-12-31,1.0,,1.9952452435055918,1.9952452435055918
22,293561BM7,2002-12-31,1.0,,2.283153507587629,2.283153507587629
23,761327AA3,2002-12-31,1.0,,2.809580560694684,2.809580560694684
24,48258HBD1,2003-01-31,1.0,,1.0422966622909482,1.0422966622909482
25,54946EAD5,2003-01-31,1.0,,1.5636480417653678,1.5636480417653678
26,552673AU9,2003-01-31,1.0,,1.6024096277577957,1.6024096277577957
27,88033GAF7,2003-01-31,1.0,,7.510163861597049,7.510163861597049
28,124845AF5,2003-03-31,1.0,,4.109003703180743,4.109003703180743
29,293561CB0,2003-03-31,1.0,,1.491903809392708,1.491903809392708
30,001765AC0,2003-04-30,1.0,,1.2332425169870092,1.2332425169870092
31,001765AE6,2003-04-30,1.0,0.88012,2.8898262990618684,0.88012
32,001765AK2,2003-04-30,1.0,,1.9072135940703883,1.9072135940703883
33,001765AP1,2003-04-30,1.0,,2.577313180348985,2.577313180348985
34,001765AQ9,2003-04-30,1.0,0.73084,1.6634973451700903,0.73084
35,001765AU0,2003-04-30,1.0,1.00978,1.116833332952912,1.00978
36,00176LCT6,2003-04-30,1.0,,1.5757714920081376,1.5757714920081376
37,50375KAC1,2003-04-30,1.0,,1.4891422309826572,1.4891422309826572
38,731095AF2,2003-04-30,1.0,,1.4827425641939602,1.4827425641939602
39,119003AF8,2003-05-31,1.0,,1.8613735871048775,1.8613735871048775
40,462691AB2,2003-05-31,1.0,,2.584343983499295,2.584343983499295
41,049164AC0,2003-09-30,1.0,1.1707299999999998,1.2984212728718694,1.1707299999999998
42,049164AP1,2003-09-30,1.0,,1.0719649630188728,1.0719649630188728
43,635847AB2,2003-09-30,1.0,,1.0344229339907247,1.0344229339907247
44,635847AE6,2003-09-30,1.0,,1.1971428606112278,1.1971428606112278
45,233343AB8,2003-10-31,1.0,,1.1430581660065242,1.1430581660065242
46,817587AC2,2003-10-31,1.0,,-0.02806533241613082,-0.02806533241613082
47,918005AU3,2003-12-31,1.0,,1.4112551269205176,1.4112551269205176
48,482584AC3,2004-08-31,1.0,,1.5593978292484578,1.5593978292484578
49,835415AG5,2004-08-31,1.0,0.028900000000000002,6.065578267540303,0.028900000000000002
50,45734SAA4,2004-09-30,1.0,-0.04167,1.0495796552052559,-0.04167
51,695112AE2,2004-10-31,1.0,0.00779,5.346105056600441,0.00779
52,909279AX9,2005-06-30,1.0,,1.7884635134045515,1.7884635134045515
53,247361WH7,2005-09-30,1.0,-0.10808999999999999,1.90123067245583,-0.10808999999999999
54,344126AG2,2006-04-30,1.0,,1.1837411050095723,1.1837411050095723
55,247361WH7,2006-09-30,1.0,,1.1508078605662253,1.1508078605662253
56,36186CAD5,2006-12-31,1.0,-0.00931,3.5196014426567404,-0.00931
57,36186CAE3,2007-07-31,1.0,-0.04887,1.123379381182667,-0.04887
58,36186CAD5,2008-05-31,1.0,-0.01352,2.909570016722782,-0.01352
59,93933WAC0,2008-09-30,1.0,-0.998,-0.9782389279394998,-0.998
60,337363AE5,2008-10-31,1.0,0.16688,1.554576845244934,0.16688
61,37042GZE9,2008-10-31,1.0,,1.0408750212552587,1.0408750212552587
62,3704A0AC6,2008-10-31,1.0,,1.013376667321943,1.013376667321943
63,52517P2S9,2008-10-31,1.0,,1.783526131842382,1.783526131842382
64,634902JZ4,2008-10-31,1.0,,1.2389669045717024,1.2389669045717024
65,634902LJ7,2008-10-31,1.0,0.45372999999999997,1.0224528455591746,0.45372999999999997
66,63534PAB3,2008-10-31,1.0,0.50742,1.3025261404420228,0.50742
67,63534PAC1,2008-10-31,1.0,0.7736799999999999,1.5803782808812488,0.7736799999999999
68,63536SAA7,2008-10-31,1.0,1.08777,1.7197912105861242,1.08777
69,63537QAA0,2008-10-31,1.0,,1.8061380574948367,1.8061380574948367
70,929903AM4,2008-10-31,1.0,0.38027,1.0114114047642617,0.38027
71,939322AN3,2008-10-31,1.0,0.40909,3.7908389130211693,0.40909
