"","ind_num","ind_abbrev","ind_desc","sic_low","sic_high","sic_desc"
"1","1","1","Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",100,999,""
"2","1","1","Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2000,2399,""
"3","1","1","Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2700,2749,""
"4","1","1","Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2770,2799,""
"5","1","1","Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3100,3199,""
"6","1","1","Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3940,3989,""
"7","10","10","Healthcare, Medical Equipment, and Drugs",2830,2839,""
"8","10","10","Healthcare, Medical Equipment, and Drugs",3693,3693,""
"9","10","10","Healthcare, Medical Equipment, and Drugs",3840,3859,""
"10","10","10","Healthcare, Medical Equipment, and Drugs",8000,8099,""
"11","11","11","Finance",6000,6999,""
"12","12","12","Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",NA,NA,NA
"13","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2500,2519,""
"14","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2590,2599,""
"15","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3630,3659,""
"16","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3710,3711,""
"17","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3714,3714,""
"18","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3716,3716,""
"19","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3750,3751,""
"20","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3792,3792,""
"21","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3900,3939,""
"22","2","2","Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3990,3999,""
"23","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2520,2589,""
"24","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2600,2699,""
"25","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2750,2769,""
"26","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3000,3099,""
"27","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3200,3569,""
"28","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3580,3629,""
"29","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3700,3709,""
"30","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3712,3713,""
"31","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3715,3715,""
"32","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3717,3749,""
"33","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3752,3791,""
"34","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3793,3799,""
"35","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3830,3839,""
"36","3","3","Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3860,3899,""
"37","4","4","Oil, Gas, and Coal Extraction and Products",1200,1399,""
"38","4","4","Oil, Gas, and Coal Extraction and Products",2900,2999,""
"39","5","5","Chemicals and Allied Products",2800,2829,""
"40","5","5","Chemicals and Allied Products",2840,2899,""
"41","6","6","Business Equipment -- Computers, Software, and Electronic Equipment",3570,3579,""
"42","6","6","Business Equipment -- Computers, Software, and Electronic Equipment",3660,3692,""
"43","6","6","Business Equipment -- Computers, Software, and Electronic Equipment",3694,3699,""
"44","6","6","Business Equipment -- Computers, Software, and Electronic Equipment",3810,3829,""
"45","6","6","Business Equipment -- Computers, Software, and Electronic Equipment",7370,7379,""
"46","7","7","Telephone and Television Transmission",4800,4899,""
"47","8","8","Utilities",4900,4949,""
"48","9","9","Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5000,5999,""
"49","9","9","Wholesale, Retail, and Some Services (Laundries, Repair Shops)",7200,7299,""
"50","9","9","Wholesale, Retail, and Some Services (Laundries, Repair Shops)",7600,7699,""
