"","ind_num","ind_abbrev","ind_desc","sic_low","sic_high","sic_desc"
"1","1","1","Food Products",100,199,"Agric production - crops"
"2","1","1","Food Products",200,299,"Agric production - livestock"
"3","1","1","Food Products",700,799,"Agricultural services"
"4","1","1","Food Products",910,919,"Commercial fishing"
"5","1","1","Food Products",2000,2009,"Food and kindred products"
"6","1","1","Food Products",2010,2019,"Meat products"
"7","1","1","Food Products",2020,2029,"Dairy products"
"8","1","1","Food Products",2030,2039,"Canned-preserved fruits-vegs"
"9","1","1","Food Products",2040,2046,"Flour and other grain mill products"
"10","1","1","Food Products",2048,2048,"Prepared feeds for animals"
"11","1","1","Food Products",2050,2059,"Bakery products"
"12","1","1","Food Products",2060,2063,"Sugar and confectionery products"
"13","1","1","Food Products",2064,2068,"Candy and other confectionery"
"14","1","1","Food Products",2070,2079,"Fats and oils"
"15","1","1","Food Products",2086,2086,"Bottled-canned soft drinks"
"16","1","1","Food Products",2087,2087,"Flavoring syrup"
"17","1","1","Food Products",2090,2092,"Misc food preps"
"18","1","1","Food Products",2095,2095,"Roasted coffee"
"19","1","1","Food Products",2096,2096,"Potato chips"
"20","1","1","Food Products",2097,2097,"Manufactured ice"
"21","1","1","Food Products",2098,2099,"Misc food preparations"
"22","10","10","Textiles",2200,2269,"Textile mill products"
"23","10","10","Textiles",2270,2279,"Floor covering mills"
"24","10","10","Textiles",2280,2284,"Yarn and thread mills"
"25","10","10","Textiles",2290,2295,"Misc textile goods"
"26","10","10","Textiles",2297,2297,"Nonwoven fabrics"
"27","10","10","Textiles",2298,2298,"Cordage and twine"
"28","10","10","Textiles",2299,2299,"Misc textile products"
"29","10","10","Textiles",2393,2395,"Textile bags, canvas products"
"30","10","10","Textiles",2397,2399,"Misc textile products"
"31","11","11","Construction and Construction Materials",800,899,"Forestry"
"32","11","11","Construction and Construction Materials",1500,1511,"Build construction - general contractors"
"33","11","11","Construction and Construction Materials",1520,1529,"Gen building contractors - residential"
"34","11","11","Construction and Construction Materials",1530,1539,"Operative builders"
"35","11","11","Construction and Construction Materials",1540,1549,"Gen building contractors - non-residential"
"36","11","11","Construction and Construction Materials",1600,1699,"Heavy Construction - not building contractors"
"37","11","11","Construction and Construction Materials",1700,1799,"Construction - special contractors"
"38","11","11","Construction and Construction Materials",2400,2439,"Lumber and wood products"
"39","11","11","Construction and Construction Materials",2450,2459,"Wood buildings-mobile homes"
"40","11","11","Construction and Construction Materials",2490,2499,"Misc wood products"
"41","11","11","Construction and Construction Materials",2660,2661,"Building paper and board mills"
"42","11","11","Construction and Construction Materials",2950,2952,"Paving & roofing materials"
"43","11","11","Construction and Construction Materials",3200,3200,"Stone, clay, glass, concrete etc"
"44","11","11","Construction and Construction Materials",3210,3211,"Flat glass"
"45","11","11","Construction and Construction Materials",3240,3241,"Cement hydraulic"
"46","11","11","Construction and Construction Materials",3250,3259,"Structural clay prods"
"47","11","11","Construction and Construction Materials",3261,3261,"Vitreous china plumbing fixtures"
"48","11","11","Construction and Construction Materials",3264,3264,"Porcelain electrical supply"
"49","11","11","Construction and Construction Materials",3270,3275,"Concrete gypsum & plaster"
"50","11","11","Construction and Construction Materials",3280,3281,"Cut stone and stone products"
"51","11","11","Construction and Construction Materials",3290,3293,"Abrasive and asbestos products"
"52","11","11","Construction and Construction Materials",3295,3299,"Non-metalic mineral products"
"53","11","11","Construction and Construction Materials",3420,3429,"Handtools and hardware"
"54","11","11","Construction and Construction Materials",3430,3433,"Heating equip & plumbing fix"
"55","11","11","Construction and Construction Materials",3440,3441,"Fabicated struct metal products"
"56","11","11","Construction and Construction Materials",3442,3442,"Metal doors, frames"
"57","11","11","Construction and Construction Materials",3446,3446,"Architectual or ornamental metal work"
"58","11","11","Construction and Construction Materials",3448,3448,"Pre-fab metal buildings"
"59","11","11","Construction and Construction Materials",3449,3449,"Misc structural metal work"
"60","11","11","Construction and Construction Materials",3450,3451,"Screw machine products"
"61","11","11","Construction and Construction Materials",3452,3452,"Bolts, nuts screws"
"62","11","11","Construction and Construction Materials",3490,3499,"Misc fabricated metal products"
"63","11","11","Construction and Construction Materials",3996,3996,"Hard surface floor cover"
"64","12","12","Steel Works Etc",3300,3300,"Primary metal industries"
"65","12","12","Steel Works Etc",3310,3317,"Blast furnaces & steel works"
"66","12","12","Steel Works Etc",3320,3325,"Iron & steel foundries"
"67","12","12","Steel Works Etc",3330,3339,"Prim smelt-refin nonfer metals"
"68","12","12","Steel Works Etc",3340,3341,"Secondary smelt-refin nonfer metals"
"69","12","12","Steel Works Etc",3350,3357,"Rolling & drawing nonferous metals"
"70","12","12","Steel Works Etc",3360,3369,"Non-ferrous foundries and casting"
"71","12","12","Steel Works Etc",3370,3379,"Steel works etc"
"72","12","12","Steel Works Etc",3390,3399,"Misc primary metal products"
"73","13","13","Fabricated Products and Machinery",3400,3400,"Fabricated metal, except machinery and trans eq"
"74","13","13","Fabricated Products and Machinery",3443,3443,"Fabricated plate work"
"75","13","13","Fabricated Products and Machinery",3444,3444,"Sheet metal work"
"76","13","13","Fabricated Products and Machinery",3460,3469,"Metal forgings and stampings"
"77","13","13","Fabricated Products and Machinery",3470,3479,"Coating and engraving"
"78","13","13","Fabricated Products and Machinery",3510,3519,"Engines & turbines"
"79","13","13","Fabricated Products and Machinery",3520,3529,"Farm and garden machinery"
"80","13","13","Fabricated Products and Machinery",3530,3530,"Constr, mining material handling machinery"
"81","13","13","Fabricated Products and Machinery",3531,3531,"Construction machinery"
"82","13","13","Fabricated Products and Machinery",3532,3532,"Mining machinery, except oil field"
"83","13","13","Fabricated Products and Machinery",3533,3533,"Oil field machinery"
"84","13","13","Fabricated Products and Machinery",3534,3534,"Elevators"
"85","13","13","Fabricated Products and Machinery",3535,3535,"Conveyors"
"86","13","13","Fabricated Products and Machinery",3536,3536,"Cranes, hoists"
"87","13","13","Fabricated Products and Machinery",3538,3538,"Machinery"
"88","13","13","Fabricated Products and Machinery",3540,3549,"Metalworking machinery"
"89","13","13","Fabricated Products and Machinery",3550,3559,"Special industry machinery"
"90","13","13","Fabricated Products and Machinery",3560,3569,"General industrial machinery"
"91","13","13","Fabricated Products and Machinery",3580,3580,"Refrig & service ind machines"
"92","13","13","Fabricated Products and Machinery",3581,3581,"Automatic vending machines"
"93","13","13","Fabricated Products and Machinery",3582,3582,"Commercial laundry and drycleaning machines"
"94","13","13","Fabricated Products and Machinery",3585,3585,"Air conditioning, heating, refrid eq"
"95","13","13","Fabricated Products and Machinery",3586,3586,"Measuring and dispensing pumps"
"96","13","13","Fabricated Products and Machinery",3589,3589,"Service industry machinery"
"97","13","13","Fabricated Products and Machinery",3590,3599,"Misc industrial and commercial equipment and mach"
"98","14","14","Electrical Equipment",3600,3600,"Elec mach eq & supply"
"99","14","14","Electrical Equipment",3610,3613,"Elec transmission"
"100","14","14","Electrical Equipment",3620,3621,"Electrical industrial appar"
"101","14","14","Electrical Equipment",3623,3629,"Electrical industrial appar"
"102","14","14","Electrical Equipment",3640,3644,"Electric lighting, wiring"
"103","14","14","Electrical Equipment",3645,3645,"Residential lighting fixtures"
"104","14","14","Electrical Equipment",3646,3646,"Commercial lighting"
"105","14","14","Electrical Equipment",3648,3649,"Lighting equipment"
"106","14","14","Electrical Equipment",3660,3660,"Communication equip"
"107","14","14","Electrical Equipment",3690,3690,"Miscellaneous electrical machinery and equip"
"108","14","14","Electrical Equipment",3691,3692,"Storage batteries"
"109","14","14","Electrical Equipment",3699,3699,"Electrical machinery and equip"
"110","15","15","Automobiles and Trucks",2296,2296,"Tire cord and fabric"
"111","15","15","Automobiles and Trucks",2396,2396,"Auto trim"
