"","ind_num","ind_abbrev","ind_desc","sic_low","sic_high","sic_desc"
"1","1","1","Food",100,199,"Agric production - crops"
"2","1","1","Food",200,299,"Agric production - livestock"
"3","1","1","Food",700,799,"Agricultural services"
"4","1","1","Food",900,999,"Fishing, hunting & trapping"
"5","1","1","Food",2000,2009,"Food and kindred products"
"6","1","1","Food",2010,2019,"Meat products"
"7","1","1","Food",2020,2029,"Dairy products"
"8","1","1","Food",2030,2039,"Canned-preserved fruits-vegs"
"9","1","1","Food",2040,2046,"Flour and other grain mill products"
"10","1","1","Food",2047,2047,"Dog and cat food"
"11","1","1","Food",2048,2048,"Prepared feeds for animals"
"12","1","1","Food",2050,2059,"Bakery products"
"13","1","1","Food",2060,2063,"Sugar and confectionery products"
"14","1","1","Food",2064,2068,"Candy and other confectionery"
"15","1","1","Food",2070,2079,"Fats and oils"
"16","1","1","Food",2080,2080,"Beverages"
"17","1","1","Food",2082,2082,"Malt beverages"
"18","1","1","Food",2083,2083,"Malt"
"19","1","1","Food",2084,2084,"Wine"
"20","1","1","Food",2085,2085,"Distilled and blended liquors"
"21","1","1","Food",2086,2086,"Bottled-canned soft drinks"
"22","1","1","Food",2087,2087,"Flavoring syrup"
"23","1","1","Food",2090,2092,"Misc food preps"
"24","1","1","Food",2095,2095,"Roasted coffee"
"25","1","1","Food",2096,2096,"Potato chips"
"26","1","1","Food",2097,2097,"Manufactured ice"
"27","1","1","Food",2098,2099,"Misc food preparations"
"28","1","1","Food",5140,5149,"Wholesale - groceries & related prods"
"29","1","1","Food",5150,5159,"Wholesale - farm products"
"30","1","1","Food",5180,5182,"Wholesale - beer, wine"
"31","1","1","Food",5191,5191,"Wholesale - farm supplies"
"32","10","10","Fabricated Products",3410,3412,"Metal cans and shipping containers"
"33","10","10","Fabricated Products",3443,3443,"Fabricated plate work"
"34","10","10","Fabricated Products",3444,3444,"Sheet metal work"
"35","10","10","Fabricated Products",3460,3469,"Metal forgings and stampings"
"36","10","10","Fabricated Products",3470,3479,"Coating and engraving"
"37","10","10","Fabricated Products",3480,3489,"Ordnance & accessories"
"38","10","10","Fabricated Products",3490,3499,"Misc fabricated metal products"
"39","11","11","Machinery and Business Equipment",3510,3519,"Engines & turbines"
"40","11","11","Machinery and Business Equipment",3520,3529,"Farm and garden machinery"
"41","11","11","Machinery and Business Equipment",3530,3530,"Constr, mining material handling machinery"
"42","11","11","Machinery and Business Equipment",3531,3531,"Construction machinery"
"43","11","11","Machinery and Business Equipment",3532,3532,"Mining machinery, except oil field"
"44","11","11","Machinery and Business Equipment",3533,3533,"Oil field machinery"
"45","11","11","Machinery and Business Equipment",3534,3534,"Elevators"
"46","11","11","Machinery and Business Equipment",3535,3535,"Conveyors"
"47","11","11","Machinery and Business Equipment",3536,3536,"Cranes, hoists"
"48","11","11","Machinery and Business Equipment",3540,3549,"Metalworking machinery"
"49","11","11","Machinery and Business Equipment",3550,3559,"Special industry machinery"
"50","11","11","Machinery and Business Equipment",3560,3569,"General industrial machinery"
"51","11","11","Machinery and Business Equipment",3570,3579,"Office computers"
"52","11","11","Machinery and Business Equipment",3580,3580,"Refrig & service ind machines"
"53","11","11","Machinery and Business Equipment",3581,3581,"Automatic vending machines"
"54","11","11","Machinery and Business Equipment",3582,3582,"Commercial laundry and drycleaning machines"
"55","11","11","Machinery and Business Equipment",3585,3585,"Air conditioning, heating, refrid eq"
"56","11","11","Machinery and Business Equipment",3586,3586,"Measuring and dispensing pumps"
"57","11","11","Machinery and Business Equipment",3589,3589,"Service industry machinery"
"58","11","11","Machinery and Business Equipment",3590,3599,"Misc industrial and commercial equipment and mach"
"59","11","11","Machinery and Business Equipment",3600,3600,"Elec mach eq & supply"
"60","11","11","Machinery and Business Equipment",3610,3613,"Elec transmission"
"61","11","11","Machinery and Business Equipment",3620,3621,"Electrical industrial appar"
"62","11","11","Machinery and Business Equipment",3622,3622,"Industrial controls"
"63","11","11","Machinery and Business Equipment",3623,3629,"Electrical industrial appar"
"64","11","11","Machinery and Business Equipment",3670,3679,"Electronic components"
"65","11","11","Machinery and Business Equipment",3680,3680,"Computers"
"66","11","11","Machinery and Business Equipment",3681,3681,"Computers - mini"
"67","11","11","Machinery and Business Equipment",3682,3682,"Computers - mainframe"
"68","11","11","Machinery and Business Equipment",3683,3683,"Computers - terminals"
"69","11","11","Machinery and Business Equipment",3684,3684,"Computers - disk & tape drives"
"70","11","11","Machinery and Business Equipment",3685,3685,"Computers - optical scanners"
"71","11","11","Machinery and Business Equipment",3686,3686,"Computers - graphics"
"72","11","11","Machinery and Business Equipment",3687,3687,"Computers - office automation systems"
"73","11","11","Machinery and Business Equipment",3688,3688,"Computers - peripherals"
"74","11","11","Machinery and Business Equipment",3689,3689,"Computers - equipment"
"75","11","11","Machinery and Business Equipment",3690,3690,"Miscellaneous electrical machinery and equip"
"76","11","11","Machinery and Business Equipment",3691,3692,"Storage batteries"
"77","11","11","Machinery and Business Equipment",3693,3693,"X-ray, electromedical app"
"78","11","11","Machinery and Business Equipment",3694,3694,"Elec eq, internal combustion engines"
"79","11","11","Machinery and Business Equipment",3695,3695,"Magnetic and optical recording media"
"80","11","11","Machinery and Business Equipment",3699,3699,"Electrical machinery and equip"
"81","11","11","Machinery and Business Equipment",3810,3810,"Search, detection, navigation, guidance"
"82","11","11","Machinery and Business Equipment",3811,3811,"Engr lab and research equipment"
"83","11","11","Machinery and Business Equipment",3812,3812,"Search, detection, navigation, guidance"
"84","11","11","Machinery and Business Equipment",3820,3820,"Measuring and controlling equipment"
"85","11","11","Machinery and Business Equipment",3821,3821,"Lab apparatus and furniture"
"86","11","11","Machinery and Business Equipment",3822,3822,"Automatic controls - Envir and applic"
"87","11","11","Machinery and Business Equipment",3823,3823,"Industrial measurement instru"
"88","11","11","Machinery and Business Equipment",3824,3824,"Totalizing fluid meters"
"89","11","11","Machinery and Business Equipment",3825,3825,"Elec meas & test instr"
"90","11","11","Machinery and Business Equipment",3826,3826,"Lab analytical instruments"
"91","11","11","Machinery and Business Equipment",3827,3827,"Optical instr and lenses"
"92","11","11","Machinery and Business Equipment",3829,3829,"Meas and control devices"
"93","11","11","Machinery and Business Equipment",3830,3839,"Optical instr and lenses"
"94","11","11","Machinery and Business Equipment",3950,3955,"Pens pencils and office supplies"
"95","11","11","Machinery and Business Equipment",5060,5060,"Wholesale - electrical goods"
"96","11","11","Machinery and Business Equipment",5063,5063,"Wholesale - electrical apparatus and equipment"
"97","11","11","Machinery and Business Equipment",5065,5065,"Wholesale - electronic parts"
"98","11","11","Machinery and Business Equipment",5080,5080,"Wholesale - machinery and equipment"
"99","11","11","Machinery and Business Equipment",5081,5081,"Wholesale - machinery and equipment (?)"
"100","12","12","Automobiles",3710,3710,"Motor vehicles and motor vehicle equip"
"101","12","12","Automobiles",3711,3711,"Motor vehicles & car bodies"
"102","12","12","Automobiles",3714,3714,"Motor vehicle parts"
"103","12","12","Automobiles",3716,3716,"Motor homes"
"104","12","12","Automobiles",3750,3751,"Motorcycles, bicycles and parts  (Harley & Huffy)"
"105","12","12","Automobiles",3792,3792,"Travel trailers and campers"
"106","12","12","Automobiles",5010,5015,"Wholesale - autos and parts"
"107","12","12","Automobiles",5510,5521,"Retail - auto dealers"
"108","12","12","Automobiles",5530,5531,"Retail - auto and home supply stores"
"109","12","12","Automobiles",5560,5561,"Retail - recreational vehicle dealers"
"110","12","12","Automobiles",5570,5571,"Retail - motorcycle dealers"
"111","12","12","Automobiles",5590,5599,"Retail - automotive dealers"
"112","13","13","Transportation",3713,3713,"Truck & bus bodies"
"113","13","13","Transportation",3715,3715,"Truck trailers"
"114","13","13","Transportation",3720,3720,"Aircraft & parts"
"115","13","13","Transportation",3721,3721,"Aircraft"
"116","13","13","Transportation",3724,3724,"Aircraft engines, engine parts"
"117","13","13","Transportation",3725,3725,"Aircraft parts"
"118","13","13","Transportation",3728,3728,"Aircraft parts"
"119","13","13","Transportation",3730,3731,"Ship building and repair"
"120","13","13","Transportation",3732,3732,"Boat building and repair"
"121","13","13","Transportation",3740,3743,"Railroad Equipment"
"122","13","13","Transportation",3760,3769,"Guided missiles and space vehicles"
"123","13","13","Transportation",3790,3790,"Misc trans equip"
"124","13","13","Transportation",3795,3795,"Tanks and tank components"
"125","13","13","Transportation",3799,3799,"Misc trans equip"
"126","13","13","Transportation",4000,4013,"Railroads-line haul"
"127","13","13","Transportation",4100,4100,"Transit and passenger trans"
"128","13","13","Transportation",4110,4119,"Local passenger trans"
"129","13","13","Transportation",4120,4121,"Taxicabs"
"130","13","13","Transportation",4130,4131,"Intercity bus trans (Greyhound)"
"131","13","13","Transportation",4140,4142,"Bus charter"
"132","13","13","Transportation",4150,4151,"School buses"
"133","13","13","Transportation",4170,4173,"Motor vehicle terminals, service facilities"
"134","13","13","Transportation",4190,4199,"Misc transit and passenger transportation"
"135","13","13","Transportation",4200,4200,"Motor freight trans, warehousing"
"136","13","13","Transportation",4210,4219,"Trucking"
"137","13","13","Transportation",4220,4229,"Warehousing and storage"
"138","13","13","Transportation",4230,4231,"Terminal facilities - motor freight"
"139","13","13","Transportation",4400,4499,"Water transport"
"140","13","13","Transportation",4500,4599,"Air transportation"
"141","13","13","Transportation",4600,4699,"Pipelines, except natural gas"
"142","13","13","Transportation",4700,4700,"Transportation services"
"143","13","13","Transportation",4710,4712,"Freight forwarding"
"144","13","13","Transportation",4720,4729,"Travel agencies, etc"
"145","13","13","Transportation",4730,4739,"Arrange trans - freight and cargo"
"146","13","13","Transportation",4740,4742,"Rental of railroad cars"
"147","13","13","Transportation",4780,4780,"Misc services incidental to trans"
"148","13","13","Transportation",4783,4783,"Packing and crating"
"149","13","13","Transportation",4785,4785,"Motor vehicle inspection"
"150","13","13","Transportation",4789,4789,"Transportation services"
"151","14","14","Utilities",4900,4900,"Electric, gas, sanitary services"
"152","14","14","Utilities",4910,4911,"Electric services"
